Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Touches, Tkl, Int, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP, 1/3,PPA,CrsPA,PrgP,Match URL
10/7/23,La Liga,Osasuna,Luka Modrić,10,hr CRO,CM,38-028,78,0,0,0,0,0,0,0,0,100,2,0,0,0,0,0.2,5,1,85,96,88.5,13,73,3,0,0,2,0,1,0,1,1,1,100,0,0,0,0,0,2,0,0,85,96,88.5,1561,486,35,35,100,37,40,92.5,10,14,71.4,0,0.2,0.1,2,6,3,0,13,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Brahim Díaz,21,ma MAR,"RM,CM",24-065,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,8,87.5,0,8,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,8,87.5,88,24,6,6,100,0,1,0,1,1,100,0,0,0,0,1,1,1,0,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Federico Valverde,15,uy URU,"RM,CM",25-077,90,0,2,0,0,1,0,0,0,73,4,1,1,0,0,1.5,6,2,57,62,91.9,7,53,2,4,2,4,4,3,1,0,2,2,100,0,1,0,1,1,5,0,0,57,62,91.9,983,221,31,34,91.2,19,20,95,6,7,85.7,2,1.5,0.4,5,9,2,0,7,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Ferland Mendy,23,fr FRA,LB,28-121,90,0,0,0,0,0,0,0,0,77,0,3,0,0,0,0,1,0,69,72,95.8,6,61,3,2,2,0,0,0,0,0,0,0,,0,0,0,0,3,3,1,0,69,72,95.8,888,216,49,49,100,14,15,93.3,2,3,66.7,0,0,0,0,5,0,0,6,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Antonio Rüdiger,22,de GER,CB,30-218,90,0,0,0,0,0,0,1,0,86,0,0,1,0,0,0,0,0,76,83,91.6,3,59,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,76,83,91.6,1413,525,31,31,100,38,43,88.4,6,8,75,0,0,0.2,0,4,0,0,3,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Aurélien Tchouaméni,18,fr FRA,CB,23-253,90,0,0,0,0,0,0,1,0,96,2,0,0,0,0,0.1,3,1,83,91,91.2,10,74,0,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0,2,2,0,83,91,91.2,1584,780,32,33,97,40,43,93,11,14,78.6,0,0.1,0.1,2,11,4,0,10,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Dani Carvajal,2,es ESP,RB,31-269,78,0,1,0,0,1,1,0,0,66,1,1,0,0,0,0.2,4,1,55,59,93.2,3,43,1,0,0,1,1,1,0,0,0,2,0,2,0,0,0,1,2,1,1,55,59,93.2,890,151,26,27,96.3,25,27,92.6,3,3,100,1,0.2,0.1,1,2,1,0,3,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Lucas Vázquez,17,es ESP,RB,32-098,12,0,0,0,0,2,2,0,0,18,0,0,0,0.2,0,0.2,4,0,14,15,93.3,0,14,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,15,93.3,189,49,10,11,90.9,4,4,100,0,0,,0,0.2,0.2,1,0,1,1,0,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/7/23,La Liga,Osasuna,Kepa Arrizabalaga,25,es ESP,GK,29-004,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,31,31,100,0,20,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,31,100,728,376,3,3,100,23,23,100,5,5,100,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/cf81ed94/Real-Madrid-Osasuna-October-7-2023-La-Liga
10/21/23,La Liga,Sevilla,Vinicius Júnior,7,br BRA,FW,23-101,87,0,0,0,0,3,1,1,0,43,0,0,1,0.4,0.4,0.3,4,0,22,29,75.9,1,36,3,8,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,22,29,75.9,302,63,14,15,93.3,6,10,60,1,2,50,0,0.3,0.1,1,1,1,0,1,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Brahim Díaz,21,ma MAR,FW,24-079,3,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,5,40,0,6,1,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,2,5,40,25,0,1,1,100,1,2,50,0,2,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Rodrygo,11,br BRA,FW,22-285,78,0,0,0,0,3,1,0,0,34,0,0,0,0.5,0.5,0,0,0,24,27,88.9,1,28,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,27,88.9,225,70,14,16,87.5,5,6,83.3,0,0,,0,0,0,0,2,0,0,1,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Joselu,14,es ESP,FW,33-208,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,4,100,0,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,4,100,27,16,2,2,100,0,0,,0,0,,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Jude Bellingham,5,eng ENG,AM,20-114,90,0,0,0,0,1,0,0,0,53,0,1,4,0,0,0.1,7,0,29,36,80.6,6,42,7,2,1,0,0,0,0,0,0,1,0,1,4,0,4,1,1,1,0,29,36,80.6,464,147,17,21,81,9,10,90,2,2,100,0,0.1,0.1,2,4,1,0,6,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Toni Kroos,8,de GER,LM,33-290,90,0,1,0,0,3,1,0,0,94,1,0,3,0.1,0.1,0.6,4,1,77,86,89.5,13,55,0,0,0,1,1,1,0,0,1,5,20,4,3,0,3,0,1,2,0,77,86,89.5,1354,724,36,37,97.3,31,32,96.9,6,13,46.2,1,0.6,0.7,3,5,0,0,13,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Federico Valverde,15,uy URU,RM,25-091,66,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0.2,3,0,20,25,80,0,21,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,20,25,80,299,67,9,10,90,9,11,81.8,1,2,50,0,0.2,0.1,1,2,1,1,0,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Luka Modrić,10,hr CRO,RM,38-042,24,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0,1,0,17,19,89.5,1,18,0,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,17,19,89.5,203,53,13,14,92.9,4,4,100,0,1,0,0,0,0,0,2,0,0,1,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Aurélien Tchouaméni,18,fr FRA,DM,23-267,66,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,1,0,31,33,93.9,2,23,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,31,33,93.9,508,95,8,8,100,19,20,95,1,2,50,0,0,0,0,3,0,0,2,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Eduardo Camavinga,12,fr FRA,DM,20-345,24,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,11,12,91.7,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,11,12,91.7,165,16,5,5,100,6,7,85.7,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Ferland Mendy,23,fr FRA,LB,28-135,87,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,61,64,95.3,3,43,0,2,0,1,1,1,0,0,1,2,50,1,0,0,0,0,1,3,0,61,64,95.3,1008,284,28,28,100,24,26,92.3,6,6,100,0,0,0,0,3,0,0,3,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Fran Garcia,20,es ESP,LB,24-068,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,3,100,0,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,3,3,100,49,6,2,2,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,David Alaba,4,at AUT,CB,31-119,90,0,0,0,0,2,0,0,0,81,2,0,0,0.5,0.5,0.1,4,0,61,66,92.4,1,48,0,0,0,2,1,2,0,0,1,1,100,0,0,0,0,0,2,7,0,61,66,92.4,1078,457,34,35,97.1,22,24,91.7,5,6,83.3,0,0.1,0,1,4,0,0,1,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Antonio Rüdiger,22,de GER,CB,30-232,90,0,0,0,0,0,0,0,0,53,1,1,1,0,0,0.2,1,0,39,48,81.3,1,39,0,0,0,1,1,1,0,0,1,2,50,1,1,1,0,1,2,3,0,39,48,81.3,717,229,15,16,93.8,22,23,95.7,2,8,25,0,0.2,0,1,1,1,0,1,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Dani Carvajal,2,es ESP,RB,31-283,90,1,0,0,0,1,1,0,0,42,4,1,1,0.1,0.1,0.1,2,1,24,30,80,1,18,0,0,0,4,2,2,1,1,3,4,75,1,1,1,0,1,5,2,0,24,30,80,394,52,12,14,85.7,8,9,88.9,3,4,75,0,0.1,0,1,0,1,0,1,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/21/23,La Liga,Sevilla,Kepa Arrizabalaga,25,es ESP,GK,29-018,90,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,44,48,91.7,0,31,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,44,48,91.7,974,621,7,7,100,32,32,100,5,9,55.6,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a1453e00/Sevilla-Real-Madrid-October-21-2023-La-Liga
10/24/23,Champions League,Braga,Vinicius Júnior,7,br BRA,FW,23-104,90,0,1,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.1,3,2,26,32,81.3,4,39,9,10,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,26,32,81.3,397,46,15,19,78.9,6,7,85.7,3,3,100,1,0.1,0.1,1,1,2,0,4,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Rodrygo,11,br BRA,FW,22-288,70,1,0,0,0,2,1,0,0,27,0,0,0,0.4,0.4,0,1,1,15,16,93.8,1,17,1,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,15,16,93.8,189,9,12,12,100,2,2,100,1,1,100,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Aurélien Tchouaméni,18,fr FRA,CM,23-270,20,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,7,10,70,1,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,7,10,70,119,51,3,3,100,4,6,66.7,0,1,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Jude Bellingham,5,eng ENG,"AM,FW",20-117,88,1,0,0,0,3,2,0,0,63,1,2,2,0.2,0.2,0,2,0,41,52,78.8,8,54,4,0,0,1,1,0,0,1,1,1,100,0,2,1,1,2,3,0,0,41,52,78.8,676,127,23,27,85.2,13,16,81.3,3,5,60,0,0,0,1,4,1,0,8,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Lucas Vázquez,17,es ESP,FW,32-115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Luka Modrić,10,hr CRO,"LM,AM",38-045,90,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0.2,9,0,75,78,96.2,6,71,1,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,75,78,96.2,1162,402,45,46,97.8,19,20,95,8,9,88.9,0,0.2,0.2,7,8,1,0,6,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Eduardo Camavinga,12,fr FRA,"CM,LM",20-348,90,0,0,0,0,2,1,1,0,85,7,1,4,0.1,0.1,0,1,0,61,65,93.8,8,67,1,3,1,7,5,4,2,1,3,5,60,2,4,2,2,1,8,3,0,61,65,93.8,1087,344,24,24,100,32,32,100,5,7,71.4,0,0,0.2,0,8,1,0,8,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Federico Valverde,15,uy URU,RM,25-094,90,0,0,0,0,1,0,0,0,52,0,2,0,0,0,0,4,0,45,49,91.8,6,46,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,1,0,45,49,91.8,783,202,22,22,100,19,20,95,3,4,75,0,0,0,1,5,0,0,6,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Fran Garcia,20,es ESP,LB,24-071,74,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0.1,1,0,53,59,89.8,5,48,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,53,59,89.8,779,272,31,32,96.9,17,21,81,3,3,100,0,0.1,0,1,3,1,1,5,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Ferland Mendy,23,fr FRA,LB,28-138,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,2,50,10,8,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Nacho,6,es ESP,CB,33-279,90,0,0,0,0,0,0,1,0,73,0,0,1,0,0,0,1,1,61,63,96.8,1,52,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,6,0,61,63,96.8,1030,522,30,30,100,25,26,96.2,5,6,83.3,0,0,0,0,3,0,0,1,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Antonio Rüdiger,22,de GER,CB,30-235,90,0,0,0,0,2,1,0,0,70,0,0,1,0.1,0.1,0,0,0,58,64,90.6,2,56,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,3,0,58,64,90.6,952,427,31,33,93.9,23,24,95.8,4,6,66.7,0,0,0,0,2,0,0,2,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Dani Carvajal,2,es ESP,RB,31-286,90,0,0,0,0,1,0,0,0,55,4,0,0,0.1,0.1,0.1,1,0,38,47,80.9,0,37,1,0,0,4,2,3,1,0,2,2,100,0,0,0,0,0,4,0,0,38,47,80.9,661,144,18,21,85.7,17,20,85,3,4,75,0,0.1,0,1,0,0,0,0,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/24/23,Champions League,Braga,Kepa Arrizabalaga,25,es ESP,GK,29-021,90,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,32,37,86.5,0,23,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,37,86.5,784,532,11,11,100,13,14,92.9,8,12,66.7,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/ba0599dd/Braga-Real-Madrid-October-24-2023-Champions-League
10/28/23,La Liga,Barcelona,Vinicius Júnior,7,br BRA,FW,23-108,89,0,0,0,0,2,0,0,0,40,1,0,0,0.1,0.1,0,3,0,19,25,76,3,30,3,5,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,19,25,76,239,45,12,12,100,6,9,66.7,0,0,,0,0,0.3,2,2,1,0,3,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Lucas Vázquez,17,es ESP,FW,32-119,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Rodrygo,11,br BRA,FW,22-292,62,0,0,0,0,1,0,0,0,24,0,0,0,0.2,0.2,0,4,0,16,20,80,0,19,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,20,80,177,23,14,14,100,2,2,100,0,3,0,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Joselu,14,es ESP,FW,33-215,28,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,6,8,75,0,6,0,2,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,6,8,75,68,0,4,5,80,1,2,50,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Toni Kroos,8,de GER,LM,33-297,62,0,0,0,0,2,1,0,0,60,4,0,0,0.1,0.1,0,3,0,51,54,94.4,4,35,0,0,0,4,2,2,2,0,3,4,75,1,0,0,0,0,4,0,0,51,54,94.4,872,373,28,29,96.6,15,15,100,6,7,85.7,0,0,0,2,6,1,0,4,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Luka Modrić,10,hr CRO,LM,38-049,28,0,1,0,0,0,0,0,0,33,0,1,0,0,0,0.6,3,1,24,30,80,3,21,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,24,30,80,363,106,11,13,84.6,7,9,77.8,3,5,60,1,0.6,0.1,1,4,1,0,3,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Jude Bellingham,5,eng ENG,CM,20-121,90,2,0,0,0,2,2,0,0,65,2,2,4,0.6,0.6,0,1,0,44,48,91.7,4,44,0,4,0,2,2,0,1,1,0,0,,0,4,0,4,2,4,1,0,44,48,91.7,533,91,30,31,96.8,11,11,100,1,2,50,0,0,0.1,0,1,1,0,4,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Federico Valverde,15,uy URU,RM,25-098,90,0,0,0,0,2,0,0,0,62,1,2,0,0.1,0.1,0.2,3,0,47,51,92.2,8,46,2,2,1,1,1,0,0,1,0,0,,0,0,0,0,2,3,1,0,47,51,92.2,774,236,21,21,100,21,24,87.5,2,3,66.7,0,0.2,0.1,1,6,2,0,8,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Aurélien Tchouaméni,18,fr FRA,DM,23-274,90,0,0,0,0,1,1,0,0,71,1,3,2,0,0,0,0,0,62,65,95.4,4,48,1,1,0,1,1,1,0,0,0,0,,0,2,0,2,3,4,1,0,62,65,95.4,851,214,43,44,97.7,16,18,88.9,2,2,100,0,0,0,0,5,0,0,4,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Ferland Mendy,23,fr FRA,LB,28-142,51,0,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,26,28,92.9,2,15,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,26,28,92.9,387,163,17,18,94.4,7,7,100,2,2,100,0,0,0,0,1,0,0,2,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Eduardo Camavinga,12,fr FRA,LB,20-352,39,0,0,0,0,0,0,0,0,37,1,2,1,0,0,0,4,1,27,27,100,1,27,0,4,2,1,0,1,0,0,0,1,0,1,1,0,1,2,3,0,0,27,27,100,427,91,15,15,100,9,9,100,2,2,100,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,David Alaba,4,at AUT,CB,31-126,90,0,0,0,0,0,0,0,0,60,1,2,3,0,0,0,1,0,37,48,77.1,1,30,1,0,0,1,1,0,1,0,0,1,0,1,3,2,1,2,3,5,0,37,48,77.1,479,148,26,31,83.9,9,12,75,1,4,25,0,0,0,1,2,0,0,1,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Antonio Rüdiger,22,de GER,CB,30-239,90,0,0,0,0,1,0,0,0,57,0,0,2,0,0,0,2,1,42,45,93.3,3,29,0,1,1,0,0,0,0,0,0,1,0,1,2,1,1,0,0,6,0,42,45,93.3,708,335,20,21,95.2,16,16,100,4,6,66.7,0,0,0,1,3,1,1,3,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Dani Carvajal,2,es ESP,RB,31-290,90,0,0,0,0,1,0,1,0,51,2,0,2,0,0,0,2,1,41,48,85.4,2,25,0,0,0,2,2,1,1,0,0,1,0,1,2,1,1,0,2,0,0,41,48,85.4,562,114,26,29,89.7,13,16,81.3,1,1,100,0,0,0.1,0,3,1,0,2,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
10/28/23,La Liga,Barcelona,Kepa Arrizabalaga,25,es ESP,GK,29-025,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,27,36,75,0,21,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,36,75,481,346,11,11,100,14,14,100,2,11,18.2,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/59b0e4f0/El-Clasico-Barcelona-Real-Madrid-October-28-2023-La-Liga
11/5/23,La Liga,Rayo Vallecano,Vinicius Júnior,7,br BRA,"FW,LW",23-116,90,0,0,0,0,2,0,1,0,53,1,0,0,0.2,0.2,0.2,5,0,17,32,53.1,0,40,10,15,10,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,17,32,53.1,245,35,9,14,64.3,7,14,50,1,1,100,0,0.2,0.2,2,1,0,0,0,https://fbref.com/en/matches/ff452d69/Real-Madrid-Rayo-Vallecano-November-5-2023-La-Liga
11/5/23,La Liga,Rayo Vallecano,Joselu,14,es ESP,FW,33-223,90,0,0,0,0,6,1,0,0,23,1,0,0,0.6,0.6,0,0,0,9,13,69.2,0,13,0,2,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,9,13,69.2,106,7,4,7,57.1,1,1,100,1,1,100,0,0,0,0,2,0,0,0,https://fbref.com/en/matches/ff452d69/Real-Madrid-Rayo-Vallecano-November-5-2023-La-Liga
11/5/23,La Liga,Rayo Vallecano,Jude Bellingham,5,eng ENG,AM,20-129,90,0,0,0,0,3,0,0,0,79,2,0,5,0.1,0.1,0.1,7,0,59,66,89.4,10,51,7,5,3,2,2,1,0,1,1,3,33.3,2,5,1,4,0,2,0,0,59,66,89.4,927,208,34,40,85,20,21,95.2,4,4,100,0,0.1,0.2,3,6,3,0,10,https://fbref.com/en/matches/ff452d69/Real-Madrid-Rayo-Vallecano-November-5-2023-La-Liga
11/5/23,La Liga,Rayo Vallecano,Eduardo Camavinga,12,fr FRA,"LM,LB",20-360,84,0,0,0,0,1,0,1,0,68,6,1,0,0.2,0.2,0,2,0,49,57,86,4,39,1,2,0,6,5,3,1,2,1,2,50,1,0,0,0,1,7,0,0,49,57,86,828,291,27,30,90,17,20,85,4,4,100,0,0,0.1,1,9,1,1,4,https://fbref.com/en/matches/ff452d69/Real-Madrid-Rayo-Vallecano-November-5-2023-La-Liga
11/5/23,La Liga,Rayo Vallecano,Nacho,6,es ESP,LB,33-291,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,6,100,1,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,6,100,101,35,2,2,100,4,4,100,0,0,,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/ff452d69/Real-Madrid-Rayo-Vallecano-November-5-2023-La-Liga
11/5/23,La Liga,Rayo Vallecano,Luka Modrić,10,hr CRO,CM,38-057,69,0,0,0,0,0,0,0,0,72,0,0,2,0,0,0.1,7,0,57,69,82.6,10,45,1,2,2,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,57,69,82.6,1018,349,26,27,96.3,20,27,74.1,8,11,72.7,0,0.1,0.2,3,8,1,0,10,https://fbref.com/en/matches/ff452d69/Real-Madrid-Rayo-Vallecano-November-5-2023-La-Liga
